fault_type,component,symptom,resolution,severity,text,cluster
,,,,,FUCK,-1
,,,,low,they stolen my car!,11
,,,,,FUCK,-1
,,,,,FUCK,-1
,,,,,FUCK,-1
,,,,low,they stolen my car!,11
communication_error,hackergotchi_server,server response is unexpected or incorrect,"check server logs for errors, ensure server is up and running",low,your hackergotchi can be a bum :),10
communication_error,hackergotchi_server,server response is unexpected or incorrect,"check server logs for errors, ensure server is up and running",low,your hackergotchi can be a bum :),10
communication issue,chatbot,incomprehensible input,clarify the input or provide a response,low,dude?,-1
communication issue,chatbot,incomprehensible input,clarify the input or provide a response template,low,dude?,-1
communication,,incomplete communication,clarify the issue,low,are you going to fix it???,2
communication,,incomplete communication,clarify the issue,low,are you going to fix it???,2
,,,fix on its way,low,fix on its way,2
,,,fix on its way,low,fix on its way,2
,,,,,thanks,-1
,,,,,thanks,-1
configuration,desktop environment,user does not customize desktop,"no action required, as normal installation does not indicate a fault",low,mine is normal installation. i don't customize my desktop,6
configuration,desktop,no customization,uncheck the customization option or reset to default settings,low,mine is normal installation. i don't customize my desktop,6
installation issue,cdrom,installation failure,"check cdrom drive, ensure it is properly connected and functioning",low,"#1094, cdrom install or netinstall?",6
installation issue,cdrom,installation failure,"check cdrom drive, ensure it is properly connected and functioning",low,"#1094, cdrom install or netinstall?",6
hardware,cdrom drive,device not recognized or not functioning,"check power supply, clean the drive, or replace the cdrom",low,"cdrom, custom (probably the same for desktop)",6
hardware,cdrom drive,device not recognized or not functioning,"check power supply, clean the drive, or replace the cdrom",low,"cdrom, custom (probably the same for desktop)",6
software,test script,/ not recognized,recheck the test script,low,"with the tests i did i always got the /, but i will check again later today",14
software,test tool,/ not recognized,recheck tests,low,"with the tests i did i always got the /, but i will check again later today",14
bug,,,fixed,low,bug fixed,2
bug,,,fixed,low,bug fixed,2
communication,daily system,unusual behavior or error,check for updates or restart the system,low,but what's the problem with daily?,1
communication,daily system,unusual behavior or error,check for updates or restart the system,low,but what's the problem with daily?,1
,,user inquiry,no specific resolution provided,low,is there any problem with it?,1
,,user inquiry,no specific resolution provided,low,is there any problem with it?,1
communication,user interface,user unable to understand system response,ensure the system is providing clear and concise responses,low,"no, i haven't tried it, i want to know! :)",5
communication,user interface,user unable to understand system response,clear the user interface or rephrase the response,low,"no, i haven't tried it, i want to know! :)",5
communication,system,unresponsive,reboot system,low,test it and let us know :-))),5
